z_id,coupling_type,times,lats,lons,winds,winds_kt
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-18 00:00:00,21.40000,128.50000,20.58,40.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-18 06:00:00,21.80000,128.30000,23.15,45.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-18 12:00:00,22.80000,127.70000,23.15,45.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-18 15:00:00,23.20000,127.50000,23.15,45.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-18 18:00:00,23.60000,127.30000,23.15,45.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-18 21:00:00,24.10000,127.30000,23.15,45.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 00:00:00,24.90000,127.40000,25.72,50.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 03:00:00,25.40000,127.70000,25.72,50.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 06:00:00,26.00000,127.90000,25.72,50.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 08:00:00,26.50000,128.20000,25.72,50.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 09:00:00,26.70000,128.10000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 12:00:00,27.00000,128.20000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 15:00:00,27.40000,128.30000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 18:00:00,27.70000,128.70000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 21:00:00,28.00000,129.00000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-19 22:00:00,28.10000,129.20000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 00:00:00,28.40000,129.40000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 03:00:00,28.60000,130.10000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 06:00:00,28.70000,130.50000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 09:00:00,28.80000,131.20000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 12:00:00,28.90000,132.00000,30.87,60.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 15:00:00,29.20000,132.80000,33.44,65.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 18:00:00,29.50000,133.70000,33.44,65.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 21:00:00,29.80000,134.70000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 00:00:00,29.90000,136.00000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 03:00:00,30.50000,136.30000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 06:00:00,31.00000,137.00000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 09:00:00,31.60000,138.00000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 12:00:00,32.20000,139.00000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 15:00:00,32.70000,140.00000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 18:00:00,33.20000,140.70000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-21 21:00:00,33.80000,142.10000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-22 00:00:00,34.40000,142.80000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-22 03:00:00,35.10000,143.80000,36.01,70.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-22 06:00:00,35.90000,145.00000,33.44,65.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-22 12:00:00,37.70000,147.60000,28.29,55.0
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-22 18:00:00,39.50000,151.20000,25.72,50.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-28 00:00:00,11.30000,165.00000,18.01,35.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-28 06:00:00,11.90000,164.20000,20.58,40.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-28 12:00:00,12.40000,163.10000,25.72,50.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-28 18:00:00,13.00000,161.90000,28.29,55.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-29 00:00:00,13.30000,160.40000,28.29,55.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-29 06:00:00,13.70000,158.80000,28.29,55.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-29 12:00:00,14.00000,157.40000,28.29,55.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-29 18:00:00,14.50000,156.00000,28.29,55.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-30 00:00:00,14.90000,154.40000,30.87,60.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-30 06:00:00,15.30000,152.80000,30.87,60.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-30 12:00:00,15.50000,151.50000,33.44,65.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-30 18:00:00,16.00000,150.50000,38.58,75.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-31 00:00:00,16.40000,149.50000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-31 06:00:00,16.70000,148.50000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-31 12:00:00,17.30000,147.70000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-08-31 18:00:00,17.80000,146.70000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-01 00:00:00,18.40000,146.30000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-01 06:00:00,19.50000,145.30000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-01 12:00:00,20.20000,143.70000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-01 18:00:00,20.60000,142.30000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-02 00:00:00,21.10000,141.00000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-02 06:00:00,21.60000,139.80000,46.30,90.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-02 12:00:00,21.80000,138.50000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-02 18:00:00,22.00000,137.40000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-03 00:00:00,22.10000,136.30000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-03 06:00:00,22.30000,135.20000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-03 12:00:00,22.50000,134.00000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-03 18:00:00,22.80000,133.20000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-04 00:00:00,23.30000,132.10000,43.73,85.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-04 06:00:00,24.00000,131.20000,48.87,95.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-04 12:00:00,24.40000,130.50000,48.87,95.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-04 18:00:00,25.10000,129.70000,48.87,95.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-04 21:00:00,25.40000,129.40000,48.87,95.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-05 00:00:00,25.80000,129.00000,48.87,95.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-05 03:00:00,26.10000,128.50000,48.87,95.0
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-05 06:00:00,26.30000,128.30000,48.87,95.0
